"Family"	"Species_abbrv"	"SpeciesForPhylogeny"	"Brain_volume_mm3_decasien"	"Hippocampus_volume_mm3_decasien"	"Neocortex_volume_mm3_decasien"	"Cerebellum_volume_mm3_decasien"	"Striatum_volume_mm3_decasien"	"MOB_volume_mm3_decasien"	"Optic.Tract_volume_mm3_decasien"	"Brain_volume_mm3_powell_mosaic"	"Neocortex_volume_mm3_powell_mosaic"	"Cerebellum_volume_mm3_powell_mosaic"	"Brain_volume_mm3_todorov"	"Hippocampus_volume_mm3_todorov"	"Neocortex_volume_mm3_todorov"	"Brain_volume_mm3_navarrete"	"Hippocampus_volume_mm3_navarrete"	"Neocortex_volume_mm3_navarrete"	"Cerebellum_volume_mm3_navarrete"	"Striatum_volume_mm3_navarrete"	"Brain_volume_mm3_grueter"	"Brain_volume_mm3_powell"	"Body_mass_g_pearce"	"Body_mass_g_powell"	"Body_mass_g_grueter"	"Body_mass_g_decasien"	"Dietbreadth_powell2"	"Diet_frug_powell"	"Diet_leaves_powell"	"Diet_youngleaves_powell"	"Diet_matureleaves_powell"	"Diet_frug_decasien"	"Diet_leaves_willems"	"geographicCode"	"Guild_init_decasien"	"DietaryGuild"	"FrugivoryPercent"	"FolivoryPercent"	"Brain"	"Neocortex"	"Cerebellum"	"Hippocampus"	"Striatum"	"MOB"	"Optic.Tract"	"Bodymass"
NA	"Alouatta_nige"	"Alouatta_nige"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Alouatta_pall"	"Alouatta_palliata"	43520	NA	28560	NA	NA	NA	NA	43520	28575.9	4365.2	NA	NA	NA	NA	NA	NA	NA	NA	49880	48920	6576.99	5350	6250	6359	2	33.1	56.35714286	NA	NA	42	67.2	"000001100000"	"Leaf"	"Fruit"	42	67.2	43520	28575.9	4365.2	NA	NA	NA	NA	5350
NA	"Alouatta_pigr"	"Alouatta_pigra"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	51130	49180	7172.06	5608	8915	8940	2	40.8	45.1	NA	NA	NA	55.7266667	"000001000000"	"Leaf"	"Fruit"	40.8	45.1	51130	NA	NA	NA	NA	NA	NA	8915
NA	"Alouatta_sara"	"Alouatta_sara"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"000000010000"	NA	"Other"	NA	NA	56750	NA	NA	NA	NA	NA	NA	NA
NA	"Alouatta_seni"	"Alouatta_seniculus"	44672.078	1320	31660	4666.33333333333	2829	41.4	NA	43189	29512.1	5069.9	49009	1319.79	31660	NA	NA	NA	NA	NA	55220	55290	6398.31	5210	5950	6247	6	40.03333333	48.13333333	NA	NA	42	51.1666667	"000000110000"	"Leaf"	"Fruit"	42	48.13333333	44672.078	31660	5069.9	1320	2829	41.4	NA	6398.31
NA	"Aotus_azar"	"Aotus_azarai"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20140	NA	1250	NA	1073	2	42.33333333	32	NA	NA	NA	NA	NA	"Frug/Fol"	"Fruit"	42.33333333	32	20140	NA	NA	NA	NA	NA	NA	1250
NA	"Aotus_hers"	"Aotus_hers"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Aotus_infu"	"Aotus_infulatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Aotus_lemu"	"Aotus_lemurinus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14646.57	403.77	7632.45	1701.99	564.73	NA	NA	NA	NA	NA	870	4	NA	NA	NA	NA	NA	NA	"000000100000"	"Fruit"	"Fruit"	NA	NA	14646.57	7632.45	1701.99	403.77	564.73	NA	NA	870
NA	"Aotus_mico"	"Aotus_mico"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16660	NA	NA	NA	NA	2	43.1	4.9	0	4.9	NA	NA	NA	NA	"Fruit"	43.1	4.9	16660	NA	NA	NA	NA	NA	NA	NA
NA	"Aotus_nanc"	"Aotus_nancymaae"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17890	NA	787	NA	NA	2	NA	NA	NA	NA	NA	NA	"000000010000"	NA	"Other"	NA	NA	17890	NA	NA	NA	NA	NA	NA	787
NA	"Aotus_nigr"	"Aotus_nigriceps"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17590	NA	958	NA	NA	2	60	17.5	NA	NA	NA	NA	"000000010000"	NA	"Fruit"	60	17.5	17590	NA	NA	NA	NA	NA	NA	958
NA	"Aotus_triv"	"Aotus_trivirgatus"	17113.9275	539	8460	1774.6	862	56	NA	15000	9204.5	1499.7	16195	538.8	9950	16920.08	443.08	9675.47	1623.46	631.77	NA	16070	NA	988.9	NA	871	3	65	27	NA	NA	45.5	NA	"000000100000"	"Fruit"	"Fruit"	45.5	27	16070	9950	1623.46	538.8	862	56	NA	988.9
NA	"Aotus_voci"	"Aotus_vociferans"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16850	17700	NA	703	989	NA	2	83	NA	NA	NA	NA	0	"000000100000"	NA	"Fruit"	83	0	16850	NA	NA	NA	NA	NA	NA	989
NA	"Arctocebus_aure"	"Arctocebus_aureus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5880	NA	210	NA	NA	NA	13	0	0	0	NA	NA	"000100000000"	NA	"Other"	13	0	5880	NA	NA	NA	NA	NA	NA	210
NA	"Arctocebus_cala"	"Arctocebus_calabarensis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6990	NA	309	NA	239	3	14	NA	NA	NA	NA	NA	"001100000000"	"Om"	"Fruit"	14	NA	6990	NA	NA	NA	NA	NA	NA	239
NA	"Ateles_belz"	"Ateles_belzebuth"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117020	112820	6692.42	8484	8167	6409	2	82.7	9	9	0	83	7.6666667	"000000100000"	"Frug/Fol"	"Fruit"	83	9	117020	NA	NA	NA	NA	NA	NA	8167
NA	"Ateles_cham"	"Ateles_cham"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	110280	7053.92	NA	NA	NA	2	78.2	12.3	NA	NA	NA	NA	NA	NA	"Fruit"	78.2	12.3	110280	NA	NA	NA	NA	NA	NA	7053.92
NA	"Ateles_fusc"	"Ateles_fusciceps"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	104988.09	1460.71	53484.99	12382.19	4010.13	NA	107550	NA	9160	NA	8034	2	NA	NA	NA	NA	NA	NA	"000000100000"	"Fruit"	"Fruit"	NA	NA	104988.09	53484.99	12382.19	1460.71	4010.13	NA	NA	9160
NA	"Ateles_geof"	"Ateles_geoffroyi"	96223.5	1366	59868	12438	4950	90.4	204	100925	72610.6	10423.2	101034	1366.01	70856	NA	NA	NA	NA	NA	105090	103460	NA	7700	7535	6712	2	69.5	14.93333333	12	2.9	68.7	14.005	"000001000000"	"Fruit"	"Fruit"	69.5	14.93333333	101034	72610.6	10423.2	1366	4950	90.4	NA	6712
NA	"Ateles_hybr"	"Ateles_hybr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102590	NA	7560	NA	NA	NA	94	5	5	0	NA	NA	NA	NA	"Fruit"	94	5	102590	NA	NA	NA	NA	NA	NA	7560
NA	"Ateles_marg"	"Ateles_marg"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Ateles_pani"	"Ateles_paniscus"	90700	NA	NA	10366.6666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	103850	107570	8697.25	8070	8280	7790	6	79.8	7.9	7.9	0	82.9	7.9	"000000100000"	"Fruit"	"Fruit"	79.8	7.9	103850	NA	10366.6666666667	NA	NA	NA	NA	8280
NA	"Avahi_clee"	"Avahi_cleesei"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"010000000000"	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Avahi_lani"	"Avahi_laniger"	9728.4225	526	4813	1489	524	89.2	NA	NA	NA	NA	9798	526.25	4813	NA	NA	NA	NA	NA	9860	9520	NA	1207	1207	1300	3	0	100	NA	NA	0	90.6	"100000000000"	"Leaf"	"Leaf"	0	90.6	9860	4813	1489	526	524	89.2	NA	1207
NA	"Avahi_occi"	"Avahi_occidentalis"	9222.71	476	4443	1383	478	70.1	38.3	NA	NA	NA	9124	475.58	4443	NA	NA	NA	NA	NA	NA	7950	NA	NA	NA	796	1	0	77	NA	NA	NA	NA	"010000000000"	"Leaf"	"Leaf"	0	77	9124	4443	1383	475.58	478	70.1	NA	796
NA	"Avahi_peyr"	"Avahi_peyr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	98	2	NA	NA	NA	NA	"Leaf"	NA	100	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Avahi_unic"	"Avahi_unicolor"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"100000000000"	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Brachyteles_arac"	"Brachyteles_arachnoides"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	116720	102040	NA	8070	8840	9248	5	52.23333333	41.8	35	6.773148148	NA	34.9333333	"000000010000"	"Frug/Fol"	"Fruit"	52.23333333	34.9333333	102040	NA	NA	NA	NA	NA	NA	8070
NA	"Brachyteles_hypo"	"Brachyteles_hypo"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10537.31	8400	NA	NA	NA	27.8	44.5	19.8	21.75	NA	NA	NA	NA	"Fruit"	27.8	44.5	NA	NA	NA	NA	NA	NA	NA	8400
NA	"Bunopithecus_hool"	"Bunopithecus_hoolock"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	110680	NA	6699	NA	6728	NA	5	NA	NA	NA	NA	NA	27	NA	NA	"Other"	NA	27	110680	NA	NA	NA	NA	NA	NA	6728
NA	"Cacajao_ayre"	"Cacajao_ayre"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cacajao_calv"	"Cacajao_calvus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70750	NA	2880	NA	3293	4	34.45	2.495	NA	NA	18	NA	"000000010000"	"Fruit"	"Fruit"	34.45	2.495	70750	NA	NA	NA	NA	NA	NA	3293
NA	"Cacajao_mela"	"Cacajao_melanocephalus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61980	NA	2300	NA	NA	3	20.4	12.7	12.4	2.3	NA	NA	"000000100000"	NA	"Fruit"	20.4	12.7	61980	NA	NA	NA	NA	NA	NA	2300
NA	"Cacajo_calv"	"Cacajo_calv"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Cacajo_mela"	"Cacajo_mela"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_bapt"	"Callicebus_bapt"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_barb"	"Callicebus_barb"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_bern"	"Callicebus_bern"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_brun"	"Callicebus_brun"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18000	NA	NA	NA	NA	NA	47	28	28	0	NA	NA	NA	NA	"Fruit"	47	28	18000	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_cali"	"Callicebus_cali"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17180	NA	880	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	17180	NA	NA	NA	NA	NA	NA	880
NA	"Callicebus_cine"	"Callicebus_cine"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_coim"	"Callicebus_coim"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_cupr"	"Callicebus_cupr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17440	NA	887	NA	NA	NA	76	8.3	NA	NA	NA	NA	NA	NA	"Fruit"	76	8.3	17440	NA	NA	NA	NA	NA	NA	887
NA	"Callicebus_disc"	"Callicebus_disc"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17000	NA	NA	NA	NA	NA	53	33.5	33.5	0	NA	NA	NA	NA	"Fruit"	53	33.5	17000	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_dona"	"Callicebus_donacophilus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_dubi"	"Callicebus_dubi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_hoff"	"Callicebus_hoffmannsi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_luci"	"Callicebus_luci"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_luge"	"Callicebus_luge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19130	NA	1090	NA	NA	NA	59.4	6.4	NA	NA	NA	NA	NA	NA	"Fruit"	59.4	6.4	19130	NA	NA	NA	NA	NA	NA	1090
NA	"Callicebus_mede"	"Callicebus_mede"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_mela"	"Callicebus_mela"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1034.310769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1034.310769
NA	"Callicebus_mode"	"Callicebus_mode"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_molo"	"Callicebus_moloch"	15635.13	NA	8016.5	1287	721	NA	NA	14924	9120.1	1352.1	17944	588.29	11163	NA	NA	NA	NA	NA	NA	15400	NA	988	NA	884	3	54	28	NA	NA	53.7	NA	NA	"Fruit"	"Fruit"	53.7	28	17944	11163	1352.1	588.29	721	NA	NA	988
NA	"Callicebus_nigr"	"Callicebus_nigr"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_oena"	"Callicebus_oena"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13900	NA	NA	NA	NA	NA	54	11.33	11	0.33	NA	NA	NA	NA	"Fruit"	54	11.33	13900	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_olal"	"Callicebus_olal"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_orna"	"Callicebus_orna"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1011.1553845	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.6	NA	NA	"Other"	NA	7.6	NA	NA	NA	NA	NA	NA	NA	1011.1553845
NA	"Callicebus_pall"	"Callicebus_pall"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_pers"	"Callicebus_personatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20200	1390.8	NA	NA	NA	4	68.285	18.13	NA	NA	NA	18.13	"000000010000"	NA	"Fruit"	68.285	18.13	20200	NA	NA	NA	NA	NA	NA	1390.8
NA	"Callicebus_puri"	"Callicebus_puri"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_regu"	"Callicebus_regu"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_step"	"Callicebus_step"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"Callicebus_torq"	"Callicebus_torquatus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19770	NA	1245	NA	1153	4	71	4	NA	NA	33	4	NA	"Fruit"	"Fruit"	33	4	19770	NA	NA	NA	NA	NA	NA	1245
NA	"Callimico_goel"	"Callimico_goeldii"	10510.15	281	6476	1240	493	27	NA	10520	6471.4	1238.8	10510	280.9	6476	12112.34	220.57	6191.43	1270.39	474.49	11430	11240	NA	396.9	484	539	2	26	13	0	0	NA	0	"000000010000"	"Om"	"Fruit"	26	13	11430	6476	1240	280.9	493	27	NA	484
NA	"Callithrix_acar"	"Callithrix_acar"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
