Species Name	Species name adjusted to 10kTrees	Species name in Perelman tree 	Subfamily	Family	Terrestriality	logECV	logBodyMass	logInsects	logFruit	logLeaves	logCombiGroupSize	logHRS	Diurnality	ECV	N ECV	Sex ECV	Source ECV	Body mass	N Body mass	Sex Body mass	Source Body mass	Original source Body mass	%animal prey	%fruit	% seeds	%fruit and seeds	%nectar	%flowers	%nectar and flowers	% reproductive plant parts (fruits, flowers and nectar)	%gum	%leaves	%young leaves	%mature leaves	%nonreproctive plant parts (gum and leaves, bark etc.)	%other	sum	Calculation	Source diet composition	Sleeping group size	Remarks Sleeping group size	Foraging Group size: mean	Group size: range	Group size combined	Source group size	Day range (m)	male Home range (HR) size: mean (ha)	female Home range size: mean	HR size average	HR range	Source Home range size							
Alouatta_pigra	Alouatta_pigra	Alouatta_pigra	Alouattinae	Atelidae	0	1.691744369	3.748808005		1.610660163	1.654176542	0.795564052	0.904174368	1	49.18	20	fem	van Woerden compilation	5608	40	fem	Glander in ATWP 2011		0.0	40.8		40.8		10.6	10.6	51.4		45.1			45.1	3.5	100.0	single study	Di Fiore and Campbell 07, other includes seeds			6.245454545	2 to 16	6.245454545	Di Fiore and Campbell 07				8.02	0.48 to 24.5	ATWP 2011							
Alouatta_sara	Alouatta_sara	Alouatta_sara	Alouattinae	Atelidae	0	1.753965866					0.792391689		1	56.75	2	fem	van Woerden compilation																									6.2	2 to 12	6.2	Goffard et all 2008													
Alouatta_seniculus	Alouatta_seniculus	Alouatta_seniculus	Alouattinae	Atelidae	0	1.742636833	3.716837723		1.602421753	1.682445939	0.896125207	1.342422681	1	55.29	39	fem	van Woerden compilation	5210.0	76	fem	Isler et al. 2008	Ayres 86, Rudran 79, Braza et al 83, Hernandez-Camacho&Defler 85 in Smith and Jungers 1997	0.0	40.03333333		40.0		6.366666667	6.366666667	46.4		48.13333333			48.1	5.466666667	100.0	average	Di Fiore and Campbell 07, other includes seeds			7.9	2 to 16	7.872727273	Di Fiore and Campbell 07				22.0	3.9 to 182	Di Fiore and Campbell 07							
Aotus_azarae	Aotus_azarai	Aotus_azarae		Aotidae	0	1.304036554	3.096910013		1.626682466	1.505149978	0.48734042	0.84509804	0	20.14	8	all individuals	van Woerden compilation	1250	55	all individuals	Fernandez-Duque 2004 in same 07		0	42.33333333		42.3			16	58.3		32			32.0	9.7	100.0	average	Fernandez-Duque 07 review			3.071428571	1 to 6	3.071428571	Fernandez-Duque 07 review				7	4 to 12	Fernandez-Duque 07 review							
Aotus_miconax	Aotus_miconax	Aotus_miconax		Aotidae	0	1.22160051		1.292256071	1.63447727	0.69019608	0.491361694	0.146128036	0	16.66	7	all individuals	van Woerden compilation						19.6	43.1		43.1		32.4	32.4	75.5		4.9	0	4.9	4.9	0	100.0		buds 26.5, flowers 5.9, Shanee unpubl. in ATWP 2011			3.1	2 to 6	3.1	Shanee unpublished, ATWP 2011				1.4		Shanee 2011 in ATWP 2011							
Aotus_nancymaae	Aotus_nancymaae	Aotus_nancymae		Aotidae	0	1.252549647	2.895974732				0.583576586		0	17.89	8	all individuals	van Woerden compilation	787	56	all individuals	Aquino and Encarnacion 1986b inFernandez-Duque 07																					3.833333333	2 to 6	3.833333333	Fernandez-Duque 07 review													
Aotus_nigriceps	Aotus_nigriceps	Aotus_nigriceps		Aotidae	0	1.245288284	2.981365509	1.096910013	1.77815125	1.243038049	0.612783857	0.931966115	0	17.59	11	all individuals	van Woerden compilation	958	3	all individuals	Isler et al. 2008	Peres 1993 in Smith and Jungers 1997	12.5	60		60.0				60.0		17.5			17.5	10	100.0	single study	67% nectar and flowers in july and august, Fernandez-Duque 07 review, Rowe 96 leaves including flowers and buds			4.1	2 to 5	4.1	Fernandez-Duque 07 review				8.55	3.1 to 14	Fernandez-Duque 07 review							
Aotus_trivirgatus	Aotus_trivirgatus	Aotus_trivirgatus		Aotidae	0	1.205897042	2.995145057	0.903089987	1.812913357	1.431363764	0.579783597	1	0	16.07	22	all individuals	van Woerden compilation	988.9	12	all individuals	van Woerden compilation (matching)	matching ECV	8	65.0		65.0				65.0		27			27.0	0.0	100.0	single study	30 leaves including flowers and buds, Sussman 2000 from Hladik 69			3.8		3.8	Sussman 2000				10.0	6 to 12	Sussman 2000, Wright 1996							
Aotus_vociferans	Aotus_vociferans	Aotus_vociferans		Aotidae	0	1.247973266	2.846955325		1.919078092		0.51851394		0	17.70	11	all individuals	van Woerden compilation	703	40	all individuals	Isler et al. 2008	Montoya et al. 1995  in Smith and Jungers 1997	0	83		83.0			17	100.0					0.0	0	100.0	single study	Fernandez-Duque 07 review			3.3	2 to 5	3.3	Fernandez-Duque 07 review													
Arctocebus_aureus	Arctocebus_aureus	Arctocebus_aureus		Loridae	0	0.769477952	2.322219295	1.939519253	1.113943352		0		0	5.88	6	all individuals	van Woerden compilation	210	30	all individuals	Smith&Jungers 1997	Charles-Dominique 1977 book	87	13		13.0	0	0	0	13.0	0	0.0	0	0	0.0	0	100.0	single study	Charles-Dominique,Gabon	1	adults sleep alone	1.03		1	Nekaris & Bearder 07													
Arctocebus_calabarensis	Arctocebus_calabarensis	Arctocebus_calabarensis		Loridae	0	0.844190396	2.489958479	1.929418926	1.146128036		0		0	6.99	24	all individuals	van Woerden compilation	309.0	12	all individuals	Isler et al. 2008		85.0	14.0		14.0				14.0	0.0					1.0	100.0	single study	Charles-Dominique,Gabon	1.0	adults sleep alone	1.0		1	Nekaris & Bearder 07													
Ateles_belzebuth	Ateles_belzebuth	Ateles_belzebuth	Atelinae	Atelidae	0	2.052377622	3.928622598	-0.318758763	1.91750551	0.954242509	1.344883279	2.477121255	1	112.82	21	fem	van Woerden compilation	8484	7	fem	van Woerden compilation (matching)	matching ECV	0.48	82.7		82.7		3.44	3.44	86.1		9.0	9	0	9.0	4.4	100.0	average	Di Fiore and Campbell 07, other includes seeds			22.125	16 to 28	22.125	Di Fiore and Campbell 07		120	88	300	85 to 388	Di Fiore and Campbell 07							
Ateles_chamek	Ateles_chamek	Ateles_chamek	Atelinae	Atelidae	0	2.042488006			1.893206753	1.089905111	1.58546073		1	110.28	18	fem	van Woerden compilation						0	78.2		78.2		3.966666667	3.966666667	82.2		12.3			12.3	5.5	100.0	average	Symington 1987, 1988, Wallace 2005			38.5		38.5	Symington 1988	1977				192 (he9	Symington 1988							
Ateles_fusciceps	Ateles_fusciceps	Ateles_fusciceps	Atelinae	Atelidae	0	2.031608183	3.961895474				0.653212514		1	107.55	19	fem	van Woerden compilation	9160.0	11	fem	Isler et al. 2008	Crile&Quiring 40 in Smith and Jungers 1997																single study	Méndez-Carvajal et all 2010			4.5	3 to 13	4.5	Méndez-Carrvajal et all 2010, Rowe personal observation	1150.0					Méndez-Carvajal 2008							
Ateles_geoffroyi	Ateles_geoffroyi	Ateles_geoffroyi	Atelinae	Atelidae	0	2.014767713	3.886490725	0.185636577	1.841984805	1.174156759	1.491361694	2.225309282	1	103.46	32	fem	van Woerden compilation	7700.0	101	fem	Di Fiore and Campbell 07		1.533333333	69.5		69.5		7.1	7.1	76.6		14.93333333	12.0	2.9	14.9	6.966666667	100.0	average	Di Fiore and Campbell 07, other includes seeds, young leaves from ATWP 2011			31.0	16 to 42	31	Di Fiore and Campbell 07	2229.615	93.0	50.0	168.0		Di Fiore and Campbell 07 ( (For Day Range:Campbell 2000,Chapman et all 1989, Ramos-Fernández 2003)							
Ateles_hybridus	Ateles_hybridus	Ateles_hybridus	Atelinae	Atelidae	0	2.01112305	3.878521796		1.973127854	0.698970004	0.416640507		1	102.59	8	fem	van Woerden compilation	7560	3	fem	van Woerden compilation (matching)	matching ECV	0	94		94.0		1	1	95.0		5.0	5	0	5.0	0	100.0		Link (pers comm) in ATWP 2011			2.61	1 to 7	2.61	subgroup counts, Guerrero 2007 in ATWP 2011													
Ateles_paniscus	Ateles_paniscus	Ateles_paniscus	Atelinae	Atelidae	0	2.031677711	3.906873535	-0.698970004	1.902002891	0.897627091	1.255272505	2.40654018	1	107.57	12	fem	van Woerden compilation	8070.0	49	fem	Isler et al. 2008	matching ECV	0.2	79.8		79.8		6.4	6.4	86.2		7.9	7.9	0.0	7.9	5.7	100.0	single study	Di Fiore and Campbell 07, other includes seeds			18.0	15 to 20	18.0	Di Fiore and Campbell 07				255.0		Di Fiore and Campbell 07							
Avahi_cleesei	Avahi_cleesei	Avahi_cleesei		Indridae	0						0.469822016	-0.537602002	0																													3.0		2.95	Thalmann&Geismann 2000, Thalmann unpubl	326			0.3	about 2	Thalmann unpubl							
Avahi_laniger	Avahi_laniger	Avahi_laniger		Indridae	0	0.978428684	3.08170727			2	0.397940009	0.176091259	0	9.52	37	all individuals	van Woerden compilation	1207.0	10	all individuals	Isler et al. 2008		0	0		0		0	0	0.0		100			100.0	0	100.0	single study	Harcourt 2009		up to 5, pair with off	2.5	1 to 4	2.5	Ganzhorn 1985 in Nunn and van Schaik 02	300.0			1.5	1 to 4, 1.4	Gould and Sauther 07 review, Harcourt 2009							
Avahi_occidentalis	Avahi_occidentalis	Avahi_occidentalis		Indridae	0	0.900367129				1.886490725	0.301029996	-0.164309429	0	7.95	2	all individuals	van Woerden compilation						0	0		0		2.6	2.6	2.6		77			77.0	20.4	100.0	single study	Thalmann 2001			2	2 to 5	2	Thalmann, pers comm	740.0			0.7	1 to 2	Thalmann 2002, Warren&Crompton 1997							
Avahi_peyrierasi	Avahi_peyrierasi	Avahi_peyrierasi		Indridae	0					2	0.244277121	0.146128036	0																			100.0	98	2	100.0	0	100.0	single study	Faulkner & Lehman 2006			1.755	1 to 2	1.755	Herrera et al. Unpubl	457.0			1.4		Harcourt 1991							
Brachyteles_arachnoides	Brachyteles_arachnoides	Brachyteles_arachnoides	Atelinae	Atelidae	0	2.00878261	3.906873535		1.717947742	1.621176282	1.397940009	1.84509804	1	102.04	7	all individuals	van Woerden compilation	8070	3	fem	Isler et al. 2008	Lemos de Sa&Glander 93 in Smith and Jungers 1997	0	52.23333333		52.23333333		6	6	58.2		41.8	35.0	6.773148148	41.8	0	100.0	three studies	Di Fiore and Campbell 07, other includes seeds, de carvalho in ATWP, Talebi 2005 and 2008			25	7 to 43	25	"7-13: Di Fiore and Campbell 07; 43 Talebi 2005"				70	up to 300	Di Fiore and Campbell 07							
Brachyteles_hypoxanthus	Brachyteles_hypoxanthus	Brachyteles_hypoxanthus	Atelinae	Atelidae	0		3.924279286		1.444044796	1.648685203	1.62838893	2.377488383	1					8400		fem	Lemos de Sa&Glander 93	ATWP 2011		27.8	5	32.8		14.56666667	14.56666667	47.4		44.5	19.8	21.75	44.5	8.1	100.0	three studies	ATWP 2011: Strier, Lemos de Sa, Rimoli			42.5	25 to 60, 3min to 80 max	42.5	ATWP 2011				238.5	168-309	ATWP 2011							
Cacajao_ayresi	Cacajao_ayresi	Cacajao_ayresi		Pitheciidae	0						1.477121255		1																													30+	more than 30	30	ATWP 2011													
Cacajao_calvus	Cacajao_calvus	Cacajao_calvus		Pitheciidae	0	1.849698541	3.459392488	0.602059991	1.537189226	0.39707055	1.622214023	2.720159303	1	70.75	11	fem	Isler et al. 2008	2880.0	2	fem	Isler et al. 2008	Ayres 1986 in Smith and Jungers 1997	4	34.45	53.61666667	88.06666667		4.86	4.86	92.9	0.45	2.495			2.5	0.11	100.0	three studies	Norconk 07 review, ATWP: Bowler, Ayres and Aquino			41.9	7 to 73	41.9	Norconk 07 review, range in ATWP 2011	465			525	500 to 550	Norconk 07 review							
Cacajao_melanocephalus	Cacajao_melanocephalus	Cacajao_melanocephalus		Pitheciidae	0	1.792251572	3.361727836	0.204119983	1.309630167	1.103803721	1.397940009		1	61.98	5	fem	van Woerden compilation	2300	3	fem	van Woerden compilation (matching)	matching ECV	1.6	20.4	61.1	81.5		4.15	4.15	85.7		12.7	12.4	2.3	12.7	0	100.0	single study	Norconk 07 review, Barnett in ATWP 2011			25	2 to 200	25	Norconk 07 review													
Callicebus_brunneus	Callicebus_brunneus	Callicebus_brunneus		Callicebidae	0	1.255272505		1.176091259	1.672097858	1.447158031			1	18.00	1	all individuals	van Woerden compilation						15	47		47		2	2	49.0		28	28	0	28.0	8	100.0		Rowe 1996???																			
Callicebus_caligatus	Callicebus_caligatus	Callicebus_caligatus		Callicebidae	0	1.234896746	2.944482672				0.342422681		1	17.18	4	all individuals	van Woerden compilation	880	1	all individuals	Isler et al. 2008	Smith&Jungers 1997																				2.2	max. 4	2.2	Norconk 07 review													
Callicebus_cupreus	Callicebus_cupreus	Callicebus_cupreus		Callicebidae	0	1.24153995	2.94792362	1.135662602	1.880813592	0.920818754	0.526985069		1	17.44	14	all individuals	van Woerden compilation	887.0	5	all individuals	van Woerden compilation (matching)	matching ECV	13.7	76.0		76		2.0	2	78.0		8.3			8.3	0.0	100.0	single study	Herrea and Heymann 2004 in ATWP 2011			3.4	2 to 7	3.4	Norconk 07 review													
Callicebus_discolor	Callicebus_discolor	Callicebus_discolor		Callicebidae	0	1.230448921		0.812913357	1.72427587	1.525044807			1	17.00	1	all individuals	van Woerden compilation						6.5	53.0		53		6.0	6	59.0		33.5	33.5	0.0	33.5	1.0	100.0	average	Youlatos 1999, Carrilloin press in ATWP 2012																			
Callicebus_lugens	Callicebus_lugens	Callicebus_lugens		Callicebidae	0	1.281764011	3.037426498	0.531478917	1.773786445	0.806179974	0.681241237	1.152288344	1	19.13	16	all individuals	van Woerden compilation	1090.0	10	all individuals	van Woerden compilation (matching)	matching ECV	3.4	59.4	26.9	86.3		3.9	3.9	90.2		6.4			6.4	0	100.0	single study	lean season, Palacios 1997 in ATWP 2011			4.8	3 to 5	4.8	Norconk 07 review				14.2	9 to 22	Norconk 07 review							
Callicebus_moloch	Callicebus_moloch	Callicebus_moloch		Callicebidae	0	1.187520721	2.994756945	1.230448921	1.73239376	1.447158031	0.544068044	0.966141733	1	15.40	3	all individuals	van Woerden compilation	988	29	all individuals	Smith&Jungers 1997	Ayres 86, Hershkovitz 90, Ferrari&Lopes 95	17	54		54				54.0		28			28.0	1	100.0	single study	Rowe 96 ref 699			3.5	2 to 7	3.5	Sussman 2000, Norconk 07 review				9.25	6 to 18	Norconk 07 review							
Callicebus_oenanthe	Callicebus_oenanthe	Callicebus_oenanthe		Callicebidae	0	1.1430148		1.342422681	1.73239376	1.05422991			1	13.90	1	all individuals	van Woerden compilation						22	54	1.3	55.3		4	4	59.3		11.33	11	0.33	11.3	7.4	100.0	single study	DeLuycker 2007 in ATWP 2012																			
Callicebus_personatus	Callicebus_personatus	Callicebus_personatus		Callicebidae	0	1.305351369			1.834325314	1.258397804			1	20.20	1	all individuals	van Woerden compilation						0	68.285		68.285		11.6	11.6	79.9		18.13			18.1	2	100.0	average	Kinzey 1983, Price 2001																			
Callicebus_torquatus	Callicebus_torquatus	Callicebus_torquatus		Callicebidae	0	1.296097678	3.095169351	1.301029996	1.851258349	0.602059991	0.596597096	1.201397124	1	19.77	6	all individuals	van Woerden compilation	1245	36	all individuals	Smith&Jungers 1997	matching ECV	20	71		71				71.0		4			4.0	5	100.0	single study	Norconk 07 review			3.95	3 to 5	3.95	Sussman 2000, Norconk 07 review				15.9	4 to 30	Sussman 2000, Norconk 07 review							
Callimico_goeldii	Callimico_goeldii	Callimico_goeldii		Callitrichidae	0	1.050887039	2.598712361	1.62324929	1.414973348	1.113943352	0.653212514	2	1	11.24	12	all individuals	van Woerden compilation	396.9	11	all individuals	ATWP 2011: Porter pers comm, Encarnacion, Garber pers comm		42.0	26	0.0	26				26.0	9.5	13.0	0.0	0.0	22.5	0.0	100.0	two studies	"19.-38 fungus, here put into ""leaves"", 7% unknown (Porter 2001b,2004, 2009, Regh 2003 thesis, in ATWP 2011"			4.5	2 to 12	4.5	HMW vol. 3, 6.3 Porter 2006				100.0	30 to 150	HMW vol. 3, Christen 1999, Poerter 2001a, Pook 1981							
Callithrix_aurita	Callithrix_aurita	Callithrix_aurita		Callitrichidae	0	0.92556991		1.58546073	1.041392685		0.77815125	1.574031268	1	8.43	4	all individuals	van Woerden compilation						38.5	11		11				11.0	50.5	0.0			0.0	0.0	100.0	single study	Martins 2000 in ATWP 2012			6.0	4 to 8	6.0	HMW vol. 3	959.0			37.5	11 to 40	HMW vol.3							
Callithrix_flaviceps	Callithrix_flaviceps	Callithrix_flaviceps		Callitrichidae	0			1.297760511	0.984527313		0.959041392	1.550228353	1										19.9	9.65	4.0	13.69	0.5		0.5	14.2	66.0	0.0				0.0	100.0	single study	Ferrari 1988 in ATWP 2012			9.1	3 to 16	9.1	HMW vol. 3	1222.5			35.5		HMW vol. 3							
Callithrix_geoffroyi	Callithrix_geoffroyi	Callithrix_geoffroyi		Callitrichidae	0	0.990116766	2.529462438	1.187520721	1.176091259		0.875061263	1.458637849	1	9.78	4	all individuals	van Woerden compilation	338	11	all individuals	Bicca-Marques pers obs, Ford and Davis 1992 in ATWP 2011		15.4	15		15				15.0	68.6	0				1	100.0	single study	Passamani 200 in ATWP 2011			7.5	5 to 10	7.5	5: Passamani, 8-10 Rowe 1996 in ATWP 2011	1009.5			28.75	23.3-34.2	Abbehusen, Passamani in ATWP 2011, HMW vol.3							
Callithrix_jacchus	Callithrix_jacchus	Callithrix_jacchus		Callitrichidae	0	0.874325619	2.505149978	0.857332496	1.31386722		0.925867202	0.666517981	1	7.49	16	all individuals	van Woerden compilation	320.0	155	all individuals	Araujo 2000 in ATWP 2011, wild		7.2	20.6		20.6				20.6	71.7	0.0	0.0	0.0	0.0	0.5	100.0	single study	Digby et al. 07 review: some fungus			8.4	3 to 16	8.4	Digby et al. 07 review for range, ATWP 2011 for average:Arruda 2005, Digby 1996, Koenig 1995, Mendes-Pontes 1995	529.0			4.6	2.9-6.6	HMW vol. 3							
Callithrix_kuhlii	Callithrix_kuhlii	Callithrix_kuhlii		Callitrichidae	0	0.901642009	2.572096768	1.130333768	1.749929464		0.73239376		1	7.97	7	all individuals	van Woerden compilation	373.3	6	all individuals	van Woerden compilation (matching)		13.5	56.225		56.225		2.6	2.595	58.8	27.7					0.0	100.0	three months study	HMW vol. 3 (3 months Aug-oct)			5.4	5 to 9	5.4	HMW vol. 3													
Callithrix_penicillata	Callithrix_penicillata	Callithrix_penicillata		Callitrichidae	0	0.855333077	2.475832546	1.423245874	1.389166084		0.740362689	1.10720997	1	7.17	28	all individuals	van Woerden compilation	299.1	9	all individuals	van Woerden compilation (matching)	matching ECV	26.5	24.5		24.5				24.5	49.03333333	0.0			0	0	100.0	two studies	Odalia-Rimoli 2002, Ferreia 2005, Fonseca 1994 in ATWP 2011			5.5	3 to 13	5.5	Digby et al. 07 review, HMW vol. 3				12.8	3.5 to 18	Faria 1986 (Digby et al. 2007 review), and Miranda 2001 in ATWP 2011							
Cebuella_pygmaea	Callithrix_pygmaea	Cebuella_pygmaea		Callitrichidae	0	0.622680799	2.064457989	1.51851394	0		0.72916479	-0.292429824	1	4.19	20	all individuals	van Woerden compilation	116.0	63	all individuals	Isler et al. 2008	Soini 1988	33.0	1.0		1.0				1.0	66.0	0.0	0.0	0.0	0.0	0.0	100.0	single study	Digby et al. 07 review			5.4	2 to 9	5.4	"de la Torre in ATWP 2011; 5.1 HMW vol. 3"	290.0			0.5	0.1 to 1.09	Digby et al. 07 review							
Cebus_albifrons	Cebus_albifrons	Cebus_albifrons		Cebidae	0	1.819573119	3.303897708	1.301029996			1.397940009	2.317018101	1	66.00	33	fem	van Woerden compilation	2013	8	fem	van Woerden compilation (matching)		20.0			80.0						0.0				0.0	100.0		Defler 1979 in Rosenberger 1992			25.0	15 to 35	25.0	Sussman 2000				207.5	115 to 300	Kaplan 2000							
Cebus_apella	Cebus_apella	Cebus_apella		Cebidae	0	1.807102186	3.404621647	1.397940009	1.665580991	1.204119983	1.1430148	2.208441356	1	64.14	78	fem	van Woerden compilation	2539	25	fem	van Woerden compilation (matching)	matching ECV	25.0	46.3	7.0	53.3		5.7	5.7	59.0		16.0	1.1		16.0	0.0	100.0	single study	"Mittermeier and van Roosmalen 1981 (Surinam, ""C. nigrivittatus""), animal matter: minimum from Zhang, fruits reduced accordingly, Zhang 1995 gives highly variable diet according to fruit availability (in ATWP 2011)"			13.9	6 to 29	13.9	ATWP 2011: Kessler, Gunst, Mittermeier&van Roosmalen, Norconk				161.6	80 to 355	ATWP 2011: Mittermeier&van Roosmalen, Zhang							
Cebus_capucinus	Cebus_capucinus	Cebus_capucinus		Cebidae	0	1.840234722	3.386766416	1.301029996	1.812913357	1.176091259	1.214843848	2.167317335	1	69.22	35	fem	van Woerden compilation	2437	6	fem	van Woerden compilation (matching)	matching ECV	20.0	65.0		65						15.0			15.0	0.0	100.0		Rose 1994, Costa Rica			16.4	12 to 27	16.4	Jack 07 review				147.0	32 to 300	Sussman 2000							
Cebus_libidinosus	Cebus_libidinosus	Cebus_libidinosus		Cebidae	0	1.803822157	3.325707623	1.491361694	1.672097858	0.602059991	1.113943352		1	63.65	31	fem	Isler et al. 2008	2117	31	fem	van Woerden compilation (matching)	matching ECV	31	47		47.0		4	4	51.0		4			4.0	14	100.0	single study	HMW vol. 3, Fazenda Boa Vista, Piaui state, Brazil			13.0		13.0	Fragaszy pers comm in ATWP 2011													
Cebus_nigritus	Cebus_nigritus	Cebus_nigritus		Cebidae	0	1.813127378	3.348601122	1.435366507	1.49324887	1.44770056	1.180890142	2.474361976	1	65.03	23	fem	Isler et al. 2008	2232	23	fem	van Woerden compilation (matching)	matching ECV	27.25	31.135		31.135	3		3	34.135		28.035		 	28.035	10.6	100.0	two studies	Izar 2004, Rimoli 2001 in TWP 2011			15.16666667		15.16666667	ATWP 2011: Di Bitteti, Izar, Lynch				298.1		ATWP 2011: Di Bitetti, Izar, Rimoli							
